33,40 # Intro
45,0
57,0
26,5 #Dm
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,10
57,0
26,5
56,0
53,5
33,10
56,0
26,5
55,0
52,5
33,10
55,0
26,5
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,5
57,0
62,5
29,5
60,0
57,5
36,5
53,0
57,5
29,10
60,0
36,10
26,5 #Dm
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,10
57,0
26,5
56,0
53,5
33,10
56,0
26,5
55,0
52,5
33,10
55,0
26,5
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,5
57,0
62,5
29,5
60,0
57,5
36,5
53,0
57,5
29,10
60,0
36,10
31,5 # Am
45,0
47,5
38,5
49,0
50,5
31,5
52,0
49,5
38,10
52,0
31,5
53,0
49,5
38,10
53,0
31,5
52,0
49,5
38,10
52,0
31,5
45,0
47,5
38,5
49,0
50,5
31,5
52,0
49,5
38,10
52,0
31,5
53,0
49,5
38,10
53,0
31,10
52,0
38,10
31,5 # Am
45,0
47,5
38,5
49,0
50,5
31,5
52,0
49,5
38,10
52,0
31,5
53,0
49,5
38,10
53,0
31,5
52,0
49,5
38,10
52,0
31,5
45,0
47,5
38,5
49,0
50,5
31,5
52,0
49,5
38,10
52,0
31,5
53,0
49,5
38,10
53,0
31,10
52,0
38,10
26,5 #Dm
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,10
57,0
26,5
56,0
53,5
33,10
56,0
26,5
55,0
52,5
33,10
55,0
26,5
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,5
57,0
62,5
29,5
60,0
57,5
36,5
53,0
57,5
29,10
60,0
36,10
26,5 #Dm
50,0
52,5
33,5
53,0
55,5
26,5
57,0
53,5
33,10
57,0
26,5
56,0
53,5
33,10
56,0
26,5
55,0
52,5
33,10
55,0
38,5
50,0
52,5
38,5
53,0
55,5
36,5
57,0
53,5
34,5
57,0
62,5
33,5
57,0
53,5
31,5
57,0
62,5
29,10
50,0
28,10
26,4 #Dm - Faster
50,0
52,4
33,4
53,0
55,4
26,4
57,0
53,4
33,8
57,0
26,4
56,0
53,4
33,8
56,0
26,4
55,0
52,4
33,8
55,0
26,4
50,0
52,4
33,4
53,0
55,4
26,4
57,0
53,4
33,4
57,0
